Flags: X - disabled, R - radius, D - dynamic, B - blocked 
 #   ADDRESS                                      MAC-ADDRESS       HO SER.. RA
 0   10.26.121.37                                 9C:6B:00:2E:40:C1 ut Lab..
 1   10.26.121.41                                 9C:6B:00:2E:40:C8 ut Lab..
 2   10.26.121.36                                 9C:6B:00:2E:42:8C ut Lab..
 3   10.26.121.46                                 9C:6B:00:2E:40:CA ut Lab..
 4   10.26.121.42                                 9C:6B:00:2E:40:D4 ut Lab..
 5   10.26.121.44                                 9C:6B:00:2E:40:D8 ut Lab..
 6   10.26.121.51                                 9C:6B:00:2E:40:D6 ut Lab..
 7   10.26.121.57                                 9C:6B:00:2E:40:69 ut Lab..
 8   10.26.121.45                                 9C:6B:00:2E:41:2B ut Lab..
 9   10.26.121.58                                 9C:6B:00:2E:41:2D ut Lab..
10   10.26.121.38                                 9C:6B:00:2E:40:B4 ut Lab..
11   10.26.121.56                                 9C:6B:00:2E:42:88 ut Lab..
12   10.26.121.32                                 9C:6B:00:2E:40:F4 ut Lab..
13   10.26.121.54                                 A8:A1:59:34:6C:F1 ut Lab..
14   10.26.121.53                                 A8:A1:59:32:5E:0A ut Lab..
15   10.26.121.34                                 A8:A1:59:32:4D:31 ut Lab..
16   10.26.121.35                                 A8:A1:59:32:4D:40 ut Lab..
17   10.26.121.49                                 A8:A1:59:32:4D:E1 ut Lab..
18   10.26.121.52                                 A8:A1:59:34:6A:88 ut Lab..
19   10.26.121.55                                 A8:A1:59:32:5A:80 ut Lab..
20   10.26.121.33                                 9C:6B:00:2E:41:0A ut Lab..
21   10.26.121.47                                 9C:6B:00:2E:40:72 ut Lab..
22   10.26.121.59                                 A8:A1:59:32:5A:5C ut Lab..
23   10.26.121.43                                 9C:6B:00:2E:42:96 ut Lab..
24   10.26.121.48                                 A8:A1:59:34:68:95 ut Lab..
25   10.26.121.31                                 7C:10:C9:41:46:5B ut Lab..
26   10.26.121.50                                 A8:A1:59:32:5E:B3 ut Lab..
27   10.26.121.40                                 9C:6B:00:2E:40:DA ut Lab..
28   10.26.121.39                                 9C:6B:00:2E:41:2E ut Lab..

